,comment,label
66,2 うるさい けど 、 オタク の 性欲 丸々 詰め込ん だ 作品 を 公共 で も 楽しみ たい という の は お 気持ち じゃ ない の です か ね ,1.0
67,ノ ウリ さん 、 そう そう って 頷い て 読み まし た ,1.0
68,これ を 取り締まる 権力 を 得 たら 、 あなた みたい な 人 は 香港 弾圧 みたい な こと 平気 で する ん です か ？ ,0.0
69,それ を テレビ の 向こう の 視聴 者 は 信じる ん です よ ね ,1.0
70,わざと やっ てる 気 も し ます 。 ,1.0
71,「 吉本興業 」 は 維新 や 高市 早苗 氏 や 最右翼 支持 の 組織 団体 な ん だろ う か なん でも お笑い に 化 ,1.0
72,自国 を 守る の が 最 重要 な ん です と 言う こと を 説明 し たい です ,1.0
73,それ も 言い過ぎ だろ う 。 ,0.0
74,なん も 思わ ない でしょ ,1.0
75,驚く なぁ 。 ,1.0
76,倒閣 に 加担 し て た ん だろ 。 ,0.0
77,残虐 非道 な 加害 国 が 軍事 力 つけ て 日 帝 に 戻り たい の です か ？ ,1.0
78,そう 言え ば 、 Amazon   music から ロシア の 作曲 家 の 曲 が 減らさ れ て いる って 聞い て いる の です が 、 Amazon 独自 でしょ う ね 。 ,1.0
79,意味 不明 、 、 、 草 ,0.0
80,何でもかんでも 結局 最後 に 一律 給付 に する 当たり 一律 給付 信仰 で も し て いる の は ？ ,1.0
81,よう ネトウヨ ,0.0
82,こんな バ 看護 師 が 居る から 、 いつ まで 経っ て も 看護 師 の 地位 が 上がら ねえ ん だ よ (=_=) ,0.0
83,ちなみに 未 接種 だ けど 、 反 ワク で は あり ませ ん ,1.0
84,その 柔らか な 言葉 で 、 製薬 会社 は 、 その 後遺症 に対する 治療 薬 も 売れる とか 考え て たり し て 。 ,1.0
85,そんな 中 で 、 方法 論 が 優れ て いる から 自民党 が 優れ てる とか 、 何 の 冗談 だ よ 。 ,0.0
86,ネトウヨ が 差別 用語 と 、 訳 の 分から ない 主張 を する ネトウヨ 。 ,0.0
87,いや 、 若い 人 より 高齢 者 の 方 が お金 持っ てる の 当たり前 だ と 思う 。 ,1.0
88,苦労 し た 数 だけ 、 人生 は 厚み を 増す 。 ,1.0
89,どこ の アメリカ 人 が 日本人 の ため に 闘う の か な ？ ,1.0
90,アメリカ に 逆行 する 東京 都 ！ ,1.0
91,薬害 の 歴史 … 10 年 後 とか 20 年 後 に 認める の でしょ う ね 、 今 まで 通り 拾い物 置か せ て 頂き ます お 邪魔 き まし た ,1.0
92,議員 なら 真実 の 情報 を 広め たら ど ない や 。 ,0.0
93,この ツイート は 絶望 感 に 間違い 。 ,0.0
94,いや 今年 大 問題 な の は 給湯 器 でしょ う よ ... ,1.0
95,また 、 ” 学校 で 憲法 に 沿っ て 反日 教育 が 行わ れ て いる 。 ” と する が 、 何 を 指し て 反日 教育 と 言っ て いる の か も 不明 だ 。 ,0.0
96,w 的 な こと です よ ね ,1.0
97,むしろ 、 日本 共産党 で さえ リベラル に 傾い て いる と 思う けど ね 。 ,1.0
98,そして それ に ふさわしい 場 は 、 ファン で ある ほう が 考える べき もの だ 。 ,1.0
99,人 として 筋 を 通す こと から 始め た 方 が いい と 思う 。 ,0.0
100,箇条 書き で 良い ん で いくつ か 挙げ て 下さい よ ｗ ,1.0
101,何 も でき ず に 日本 を 沈没 直前 まで 追い込ん だ 左翼 民主党 政権 を 信奉 する よう な 連中 が 何 を 言っ て も 説得 力 は 皆無 。 ,0.0
