,Unnamed: 0,comment_sentence,label
831,409,男女関わらずアイドルは可愛い者では？,1.0
270,33861,人並み以上に納税してるのか？,0.0
453,31,努力はムダにはならない。,1.0
322,34061,仮定が良くわからないな…,0.0
321,34058,こんないい加減な記事で惑わされる時点でありえないと思います。,0.0
211,29231,乱暴なことばね。。。,0.0
641,219,社会人になりコミュニティが限定されてます。,1.0
824,402,「政治的妥当性」に乗っかる日本と日本人が怖いですね。,1.0
479,57,「自分は勇ましく戦う戦士！」のような「イメージ」即ち虚像にだけ溺れている人達「他人にそういうイメージで見てもらわないとヒステリーを起こす」（自分の矮小な正体がバレたと思うからだろう）,1.0
310,34015,なるほど、そう信じたいんですね,0.0
24,2017,渡辺弁護士の鼻がスケベっぽくてエロいから隠しとけとか言われたら反発するだろ？,0.0
743,321,好きで路上生活してる訳じゃない。,1.0
238,33723,(´・ω・`)?,0.0
692,270,左派共に政治信条の押し付け合いなんだなぁって実感するわ。,1.0
225,32866,というかほぼ間違ってる香西君が触れていい内容じゃないぞ。,0.0
676,254,とてもじゃないけど「別姓じゃないと困ってる」人には見えない。,1.0
269,33857,いつもいつも日本のやることに対して悪口、文句ばかりを言っている。,0.0
705,283,え？,1.0
656,234,これに尽きるのよね。,1.0
4,736,それも言い過ぎだろう。,0.0
481,59,果たしてそんな人間は存在するのか？,1.0
611,189,「イヤなら観るな」で終了案件じゃねぇかいつまで我儘言ってるんだ？,1.0
666,244,字幕とアナウンスだけで、えっ？,1.0
136,16330,ウソつくなや,0.0
77,11337,極左の破壊活動でしかない！,0.0
244,33740,発言が無責任過ぎます。,0.0
672,250,おはようございます,1.0
186,23475,政治ではどんな主張も構わないと思うが、正しくない事実に基づいてはいけない。,0.0
333,34130,全体主義思考の異邦人に言われたくない。,0.0
10,1013,本当生産性のない奴らw,0.0
463,41,なんで1番の重要なポイントで逃げるかな。,1.0
545,123,そして、同時に逃げ口上を必死に考えているはずです,1.0
648,226,ゲーマー的に言えば、世界規模でリアル人狼ゲームの真っ最中です。,1.0
458,36,僕は僕の判断で打ちません。,1.0
629,207,でもこれ人種や性別などに忖度して数値弄って判定し出したら全く意味の無いAI分析になると思うんだけど、そんな判定に意味あるのかな？,1.0
246,33748,駄文を長々と列ねても結局「ボクちゃんはアニメや漫画が嫌いなんでちゅ～」の一言で済むのだから中身など全く無し。,0.0
426,4,勇気いりますよね！,1.0
22,1747,ウクライナみたいに回避できない状況もあるのを想定してない時点でクソ,0.0
508,86,政治をサボっているなら話は別だが、政治家は政治家である前に人間でなくてはなりません。,1.0
491,69,あと、コストしか見ないアホ経営者が悪い。,1.0
233,33681,論理的に破綻！,0.0
166,19976,ネトウヨ。,0.0
74,11334,お前らヒステリック・フェミによる極めて醜悪かつ傲慢な差別行為を止めさせるのが望み。,0.0
71,9924,ピンボケな見解だな。,0.0
11,1031,見ている範囲が狭すぎるんじゃないですか？,0.0
619,197,もし「性欲がある全ての人間は性犯罪者予備軍である」と言うのなら、その理屈は合っている。,1.0
318,34054,お前見たいな事を、言う奴が居るから、更に感染者が増えんだろ(＃｀皿´),0.0
393,34327,あんたら「獣臭い博多ラーメンはすべて禁止して、マイルドな味だけにしろ」と言うから嫌われとるんやで？,0.0
224,32849,香西さんのツイートは「不確かな内容」いっぱいですよw,0.0
412,34364,という胡散臭い主張,0.0
255,33788,そんなことは中２でも言える。,0.0
123,16141,ほーら始まった、何にもわかってないくせにわかったフリするようなやつ。,0.0
45,2615,だから説得力も皆無。,0.0
647,225,mTちゃん無糖さん,1.0
261,33815,早く垢消せ,0.0
316,34049,心だけではなく脳ミソもないか足りなくなってしまってるようですね。,0.0
555,133,修正されてませんよ？,1.0
739,317,2うるさいけど、オタクの性欲丸々詰め込んだ作品を公共でも楽しみたいというのはお気持ちじゃないのですかね,1.0
230,33661,こんなことを真顔で言われた日には、笑い堪えるのに必死になってしまうわ。,0.0
86,11365,何処の世界線の方ですか？,0.0
67,7581,こんなところでも歴史改竄運動…,0.0
524,102,おはよう御座います。,1.0
452,30,#拡散希望RTお願いします,1.0
805,383,スクショ,1.0
748,326,データーなしで　,1.0
249,33754,何か問題があるんですか？,0.0
511,89,オミクロンよりも、煽ってくる自称専門家や芸能人の方が怖いんですが…,1.0
591,169,自分は豊かになりたい、でも気に入らないあいつは貧しくなってほしい。,1.0
539,117,足りない倫理観をまともな人が補わなければなりません。,1.0
112,15121,全く触れずにこんな糞みたいな煽りツイートか,0.0
626,204,そして俺にとって都合の良い社会になれ！というのがぶっちゃけ維新の原動力であり、Twitterにはそこら中に落ちているもの。,1.0
300,33992,恥かくだけだからやめとけ,0.0
823,401,ワクチンパスポートはアプリであるけど普及していない。,1.0
167,19989,笑いすぎてお腹が痛い,0.0
622,200,一回まずは現場にいってみようね,1.0
78,11338,#ヒステリック・フェミ,0.0
717,295,謝罪と沈静、そして自浄。,1.0
488,66,この中学生は簡単に詐欺にかかりそうで怖いな。,1.0
170,20801,議員が「バイオテロ」を公に発言。,0.0
551,129,私も始まりだと思ってます。,1.0
625,203,いわゆる「統計的差別」問題ですね。,1.0
27,2282,大丈夫？,0.0
623,201,は？,1.0
784,362,社会生活が煩わしい親族と関わりたくないから世捨てが気楽住所があると、税金や借金の取り立てが来るし、住所は無い方が気楽こんな方々にとっては、生活保護が迷惑だったりしますから、オナニーにならないよう頑張ってください,1.0
293,33964,そんな事より約束守ろうね出来ない守れない約束をするから嘘つき言われるんだよ,0.0
553,131,ここまで対策を徹底してるからこの程度で済んでるとも言えます。,1.0
385,34290,こんなツイートしてどうなるか理解できないなんて、馬鹿ですね。,0.0
375,34265,先ずはそれをやってから文句言えよなw,0.0
472,50,で、中共はその金で日本侵略を企ててる…と…何だそれ？,1.0
193,23853,決め付けもここまで来ると清々しいもんだな。,0.0
222,31941,理屈を言うが理屈が解らない,0.0
454,32,イギリスに住んでいて、去年との差は重症者より感染による濃厚接触者が増加、そして自宅待機からの労働力低下し、インフラが圧迫されている印象があります。,1.0
397,34332,多方面に喧嘩を売る天才を見つけた。,0.0
387,34292,自分の考えと違う人を罵倒するのは自信がない裏付けですよ。,0.0
447,25,デモへの誤解や悪い先入観を撒き散らし植え付けた影響は計り知れない。,1.0
646,224,お3方はじめそのフォロワーさんたちがいる限り、まだ希望はあると思います。,1.0
552,130,本を読んで、成長するのは知能の内の極一部分だけだから、それだけで人としてどちらが知的に成長してるかなんで分からないですよ,1.0
113,15122,捏造動画作って収益あげる奴が言うのはおかしいのでは(笑),0.0
391,34312,事実と異なっているというソースは？,0.0
703,281,何をもって右翼、左翼なのか、歴史や国によってバラバラです。,1.0
89,11382,歴史修正主義者か,0.0
110,14833,何もできずに日本を沈没直前まで追い込んだ左翼民主党政権を信奉するような連中が何を言っても説得力は皆無。,0.0
566,144,客観的に観てると「（自分の）まわり全員が迷惑してんだよ！,1.0
401,34336,まーた歴史修正かどんだけ嘘つくねん,0.0
180,21977,見たくねえならTwitterやめろよ！,0.0
169,20789,違和感ある発言。,0.0
191,23811,オタク嫌いって偏見とかもう見飽きたわ。,0.0
6,834,あたま大丈夫なのかしら、と。,0.0
330,34101,お前は馬鹿か？,0.0
199,23878,「ようなもの」よって事実ではない単なる感想であるQ.E.D,0.0
414,34378,あっー高専差別…？,0.0
592,170,太田は頭が悪いくせに、知ったかぶり、あんなんで芸人なんて、干されなきゃわからないのよ。,1.0
155,18612,日本語おかしくないかい？,0.0
404,34346,文明人としてのスタートラインに立ってから発言してほしいものですが、このように非人道的になってしまうのも完全なる自己責任とは言えません。,0.0
471,49,子供がかわいそうでならない。,1.0
556,134,バカな人間は。,1.0
837,415,法人税における中小企業の税率は軽減されているし、交際費が一部損金算入など中小企業しか使えない特例措置も多い。,1.0
597,175,そうじゃない人のほうがたくさんいます。,1.0
151,18171,倒閣に加担してたんだろ。,0.0
156,18623,オマケにデマ流すな？,0.0
358,34222,黙れ小僧笑笑,0.0
88,11367,恥を知れと言いたい。,0.0
103,12934,単に自分が嫌いな反発を並べただけですよね。,0.0
58,5170,ただの学歴コンプレックスっぽいw,0.0
582,160,何してもいいんやなぁ,1.0
91,11395,社会に文句をいうだけの存在でなく、きちんと社会に貢献するまともな人間になりましょうね。,0.0
655,233,マイラーズさん、応援しております,1.0
411,34363,あなたが一番胡散臭いです,0.0
349,34161,＞変わらんくらい根拠ねぇなんかそういうデータあるんですか？,0.0
344,34150,やんわり現代のオタクをdisる,0.0
604,182,いや、若い人より高齢者の方がお金持ってるの当たり前だと思う。,1.0
319,34055,物事を見極められないコロナ過剰議員は今すぐ辞めてくれ,0.0
178,21473,この人、注目されたいかまってちゃんなのに、文化的教養が低すぎて哀れ。,0.0
314,34032,現状を変えたいとは思わない人達に向かって、現状を変えたい側が「内容を知れ、理解しろ、自分で調べろ」って随分高飛車。,0.0
364,34246,嫌なら外国行きな。,0.0
295,33966,お前は無理だからさぁ、人に迷惑かける動画だけはやめたら？,0.0
738,316,別に。,1.0
519,97,キチガイ！！,1.0
15,1263,あんたが「存在するだけで嫌われ警戒される」,0.0
476,54,汚染水と処理水は違うものだから、あるものはあるとかの問題じゃない。,1.0
20,1289,嫌われてるのはあんたらインセルやキモモタだけ。,0.0
111,15119,なんかさ、君は金銭欲や自己顕示欲が強すぎて周りの人間やサラブレッドに対しての愛が感じられないんだよね。,0.0
451,29,オタク（の男）になら何言っても糾弾しない。,1.0
312,34026,またデマ流してるーくっだらない動画ばっか見てないでたまには正しい情報も見ましょうね,0.0
698,276,しかし、少なくとも第2次安倍政権以降の自民党は完全に狂ってる。,1.0
179,21474,この人以前も似たようなこといっていて、尚且つ指摘されていてそれでまた繰り返しているのだからただただ不誠実としかいえない。,0.0
642,220,出たよ,1.0
673,251,遠い隣人のままでいきましょう。,1.0
31,2289,モラルがねぇからたたかれてんだろ？,0.0
124,16142,あんたみたいなのがいるから「娘」という属性は一生辛いまんまなんだよ。,0.0
529,107,すももさんが｢ガシマンはダメ｣って思い込んでるのだってメディアやSNSの影響なんじゃないの？,1.0
509,87,そんな学歴を気にするなら卒業証書とか身分証で確認すればいいのにね。,1.0
662,240,あ、打ってか？,1.0
733,311,事故責任なら就職氷河期の人も自己責任ですよね？,1.0
525,103,拡散しなくっちゃ,1.0
130,16301,具体的根拠を示せよ！,0.0
320,34056,残念だけどその記事は死ぬほどいい加減で嘘っぱち何が言いたいのかさっぱり分からない,0.0
297,33981,「女性であるが故に不利益を受けたり生きづらさを感じさせられたりすることのない社会を実現しなければ」という部分は大賛成だが、このツイートはちょっと...。,0.0
617,195,これを取り締まるのが旧態依然とした男性社会とけいさつ。,1.0
122,16128,あなたみたいな男ばっかりだから娘さんはこれから辛い思いをするでしょうね。,0.0
346,34154,何でそうなる？,0.0
830,408,沈没客船セウォルの船長が、避難させなければならない学生達を見捨て、真っ先に避難してしまったように、韓国人に信義などありません。,1.0
485,63,お金もかからず簡単なのでぜひ。,1.0
521,99,シュン社長！,1.0
595,173,昔々の太古から馬鹿な愚民が圧倒的多数だったわけで、ガリレオさんの気持ちがわからないでもないです。,1.0
440,18,そう思う時有るよ。,1.0
90,11394,みじめな人生だからと言って、加害者のくせに被害者気取りで世の中に甘えるのもいい加減にしましょう。,0.0
796,374,薬害の歴史…10年後とか20年後に認めるのでしょうね、今まで通り拾い物置かせて頂きますお邪魔きました,1.0
239,33727,あなたはそもそも胡散臭いのなんとかした方がいいっすよ、と思ってます。,0.0
794,372,ゲームやアニメのキャラを使って政治発言してる人もモヤモヤする。,1.0
49,2640,君はそろそろおたくから卒業したほうがいいんじゃないか？,0.0
537,115,「米国と協力して憎き中国に制裁を！」と叫び、米軍基地に反対する市民をプロ市民と揶揄するウヨ様達。,1.0
248,33750,バカじゃねぇの。,0.0
800,378,小学生の自殺者が急に出てきたのは、向精神薬漬けにされているからです,1.0
557,135,結局、これが今の日本の民度なんですよ。,1.0
477,55,3～5分に…,1.0
684,262,経験談でいうと、目先の欲望を我慢できない、快楽が手に入ったら後の事はどうでも良くなってしまうんですよ。,1.0
839,417,間違いなく税金だぜ？,1.0
160,18983,ん？？？？？,0.0
445,23,日本語で「証拠」です。,1.0
271,33870,ある界隈の人たちって、「本当に」だの「真の」だのが大好きなのですね…,0.0
659,237,米軍だけでなく、日本人の帰国者がオミクロンをばら撒いた！,1.0
460,38,コイツはリプすら読んでませんよ,1.0
711,289,3億の損害賠償貰ったとして,1.0
19,1284,脳みそがゲシュタルト崩壊！,0.0
280,33925,ムカつくな。,0.0
546,124,社会性がなくなる前に,1.0
370,34260,酔っ払ってるのか？,0.0
283,33938,単に負け犬の遠吠えやん。,0.0
245,33747,こうした責任感の欠片も存在しない戯れ言吐く輩が相手に責任感を求めるなど笑止千万。,0.0
720,298,地方はますます左翼に支配されていく・・,1.0
208,26245,だから？,0.0
755,333,人手不足による医療機関のオーバーワークなどが起きないことを願います。,1.0
115,15180,ストマックさんは、下手すぎます,0.0
217,31083,何ら根拠ないですね,0.0
600,178,もう滅茶苦茶だ12歳からやってるのだけでも、もうこんな社会にいたくないのに,1.0
465,43,米兵は永久的に日本の飲食店利用禁止。,1.0
449,27,逆にウマ娘足出してるだけで　,1.0
742,320,思考停止＆懐古主義,1.0
480,58,発症時期や病前の社会適応、知的能力、発達特性、見込まれる支援などなど、得られる情報は沢山あり、診察時に共有できる話題が見つかることも。,1.0
220,31135,寝言？,0.0
543,121,コロナだー,1.0
670,248,その柔らかな言葉で、製薬会社は、その後遺症に対する治療薬も売れるとか考えてたりして。,1.0
83,11352,また嘘つくんですか？,0.0
630,208,今私立大学では「推薦入試」の名の下に、定員を満たすことに血道を上げている。,1.0
326,34092,そのような判断の責任を相手に転嫁していますが、あなたは戦争をした上での責任を取ることは出来ませんよね？,0.0
277,33915,あんたのフォローで中国の悪口を言ってるヤツがいる！,0.0
607,185,あ、それならオイラも現役いけます,1.0
693,271,何がおこつたの？,1.0
361,34237,ん～取り敢えず日本語大丈夫？,0.0
584,162,好きなものを無茶苦茶な理由で批判されて存在まで「犯罪につながる」とまで言われたら、そりゃ普通怒りますよね？,1.0
127,16278,勝手に日本人て言葉を出さないで下さい。,0.0
807,385,報道「する」自由。,1.0
62,5774,そんなこともわからんのか。,0.0
104,12957,コイツが一番めんどくさい定期,0.0
40,2309,長えんだよ妄想が。,0.0
363,34243,多くの外国人力士がいて横綱にもなっている自分の思い込みだけで印象操作、あなた自身が一番品格がないですね,0.0
93,11581,子孫達のためにもちゃんと頭で考えてくれ。,0.0
490,68,残念ながら日本の有権者の多くはそんな事何一つ理解していません。,1.0
550,128,それが出来ないから｢,1.0
159,18967,かわいそうな人達です。,0.0
348,34159,あなたのアジテーター活動のコストパフォーマンスはかなり低そう。,0.0
540,118,いつもまだまだって思わせてくれる,1.0
760,338,内輪の支持者しかいない番組なんて誰も見ないんだからさ。,1.0
54,4714,本気で言ってるのでしょうか。,0.0
699,277,反ワク、自分が嫌なら打たなきゃいいだけなのに相手の高学歴を持ち出して腐すのが意味不明。,1.0
500,78,先の衆議院選挙の結果には暗澹としました。,1.0
416,34413,経験も知識も経済力もない似非フェミが自分のお気持ちを会社にクレームとして喚き散らしている。,0.0
518,96,向こうは軽い身体障害ではあるものの、顔は可愛いし、短大を卒業、転職を繰り返しましたが今はそこそこ高給取り。,1.0
608,186,多数決は正しいとは限らないのをご存知ない？,1.0
386,34291,違う意見を受けられないのは唯我独尊で最も危険なことです,0.0
493,71,うちのまえの施設がそうですね,1.0
821,399,&gt;,1.0
818,396,これは司法試験の答案でこう書いても本当に合格できるのだろか？,1.0
576,154,解釈の仕方で変わりますよね。,1.0
272,33871,？,0.0
428,6,挙句の果てに、今朝ニュース番組で「mRNAは危険というデマがSNSで拡散されている」との報道が。,1.0
327,34094,こんな会話ありえないし、しても意味がない。,0.0
494,72,性欲を食欲に置き換えれば理解できるかな？,1.0
148,17687,自己紹介か？,0.0
291,33961,結論、人のせいにすな?,0.0
164,19973,屁理屈言うなネトウヨ。,0.0
498,76,多くの方にその内容を知って下さい。,1.0
565,143,「経済大国」を標榜するのなら国民の実態もそれに合っていなければおかしいですよね！,1.0
709,287,立憲民主主義の国である以上、当たり前のことだ。,1.0
561,139,学校ではよく使われちゃう気がしますね。,1.0
745,323,番組で使用した動画があるのだから、実際には何を言ってたのか確認できるだろうし、本人にもう一度取材して真意を確かめれば良いのに。,1.0
204,25650,そんな中で、方法論が優れているから自民党が優れてるとか、何の冗談だよ。,0.0
783,361,罰を与えろ！,1.0
474,52,いくら説明しても無理それは既に治療が必要な洗脳されてる脳みそだと思います,1.0
290,33960,朝から何言ってんの？,0.0
396,34331,15年くらい認識が遅れてる。,0.0
438,16,ネトウヨが差別用語？,1.0
273,33872,何を仰りたいのか、よくわかりません。,0.0
793,371,まさに漢って感じです。,1.0
55,4722,あなたは犯罪者です！,0.0
558,136,ロンドンで、タリバンの宣伝聞くより「虎８ニュース」の方に切り替えたら・・須賀川さん・・？,1.0
579,157,どうかご自分を責めないでください,1.0
718,296,すごく、すごくすごく難しいことだよ、これは。,1.0
843,421,ちゃんと学習指導要領に沿って教えろ,1.0
799,377,寿命縮めてもいる価値ないと思ったら逃げた方がいいですね,1.0
212,29232,タグの口調が気に入らないね,0.0
196,23873,古のオタク。,0.0
654,232,普通に臭いから止めてくれですむ話だろうになぁ,1.0
773,351,だからその五輪貴族の実名を挙げてください。,1.0
811,389,こども食堂が増えてる日本、国は何をやっているのか。,1.0
315,34035,公共の場で他人を非難しておいて、自分達の発言にさえ向き合えない、責任さえ反故にするような左翼勢力とはそんな馬鹿げた連中の集まりなのか話にならん,0.0
372,34262,数字は嘘をつかないが嘘つきは数字を使う,0.0
377,34273,あなたはヒトラーか？？？,0.0
37,2297,そりゃ奇声上げながら斧振り回してるのが見えてたら通報されるわ常識考えろ常識を,0.0
218,31108,差別者 であることを自覚してください。,0.0
339,34140,シツコサでは「きっこ」の方が200％しつこいのに本人だけが気が付かない認知症加減が草,0.0
194,23854,普段、根拠やデータを気にしてないからこう受け止めちゃうんでしょうね,0.0
282,33933,なんで海乱鬼って年中イキり散らしているわりには、物の考え方がこんなに弱々しいのだろうな。,0.0
798,376,だからそういう名前を名乗ってるのですか？,1.0
384,34289,左翼と同じ煽り。,0.0
628,206,日本は天国。,1.0
247,33749,お　ま　え　が　い　う　な,0.0
423,1,だって「ダメなことはダメって言う」,1.0
789,367,思い込みと偏見による先入観、たいへん失礼いたしました。,1.0
812,390,まず主語がデカいと言いながら貴方の「ジェンダー問題を叫ぶ女たち」もまた、十分に主語がデカい。,1.0
65,7453,その実例を挙げて説明されたい。,0.0
527,105,「投資はギャンブル」って投資に無知な人のセリフですよね。,1.0
121,16126,正直一つ前のツイートの一行目からギョッとしたけど、まぁ男なんてこんなもんだよな。,0.0
815,393,そんな事あるの？,1.0
781,359,余裕で。,1.0
817,395,これは本当に今からでもいいからやめてほしい。,1.0
813,391,賛成(-o-)/,1.0
605,183,仰る通りです。,1.0
677,255,さすが多摩湖ナルコレプシー(@tamako_han)さんが、フェミニズムの細い細い糸を繋いでおられます。,1.0
489,67,いいわけはいいから絞首刑にして欲しい。,1.0
544,122,「悪いことしない人」は「悪いことする人」や「悪いことする人を見て見ぬふりする人」から外れた「弱いもの」になって「弱いものいじめ」されるもの。,1.0
780,358,今の日本の衰退の一端は、欧米式の成果主義を中途半端に導入した企業のせい。,1.0
686,264,その人の体とその人の人生なので。,1.0
594,172,ある創作物で世の中全ての人の尊厳が傷つくならともかく世に出てるものは受け手によって創作物への評価が分かれるものだろ。,1.0
507,85,反コロナワクチンのわたしでも、牛乳の件（そもそも悪玉論的なやつとか・政府がごり押しとか？）はついていけない。,1.0
439,17,法律作って掠め取る、きたない放送局め。,1.0
48,2638,ちょっと意味不明すぎて話が見えませんね。,0.0
702,280,ふむ…＞,1.0
750,328,「G7で最も厳しい」という成果,1.0
514,92,実情がバレるまでポルポトを擁護したり文革を礼賛してた連中と同根でしょうねえ・・・,1.0
263,33848,だから何？,0.0
723,301,単なる日本の文化破壊にしか思えません。,1.0
761,339,手厚くするからラッキー！,1.0
822,400,この一点に、岸田流鎖国の実像が凝縮されている。,1.0
308,34008,貴女の屁理屈だと､お父様は女性差別をしたんだよ｡,0.0
751,329,日本で一番まともな民放と思われるテレ東の唯一の問題点は、パックンと池上を重用することですね。,1.0
157,18625,それとも、もしかして、貴方、日本語が母国語ではない外国の方ですか？,0.0
792,370,キョトン ( '-' )？,1.0
415,34397,さすがネトウヨと言いたくなるくらいおバカさんだな。,0.0
126,16276,日本語わかりますか？,0.0
351,34181,皇太子時代の上皇陛下をディスっているのでしょうか？,0.0
70,9910,つーかお前の方が遥かに胡散臭いわ(嘲),0.0
691,269,下層階級も知らないんだよ。,1.0
418,34417,いいえ、このような著作や講演会をされている時点で全く説得力ないです。,0.0
301,33999,どう考えても今の発言は差別です。,0.0
12,1049,たったの一行で全部間違ってて草,0.0
28,2283,フェミニズムをおかしな宗教みたいにした連中のうちの一人が何言ってんだろう？,0.0
173,20827,このツイートは絶望感に間違い。,0.0
840,418,私たちの絶望は、私たちだけの絶望,1.0
841,419,そもそもなんで夫が元暴力団の人間だと首相の臨時代理順位2位になっちゃいけないんですか？,1.0
257,33809,「歴史修正主義者は嫌い」って書いてあるから自分の事嫌いなんだね,0.0
100,12884,アンタの方が胡散臭い,0.0
