文,出現順序,全体のコメント,ラベル
マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。,0,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
"
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。",1,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
怖い怖い（財産も持ってないけど笑）,2,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
"
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。",3,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
見つかった時、再交付の時も1度の手続きですむならいいけど。,4,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。,5,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
全部紐付けしたマイナンバーカードを紛失して窓口での手続きの際、「本人を証明する物を出して」と言われたら何を出すのでしょうね。,0,全部紐付けしたマイナンバーカードを紛失して窓口での手続きの際、「本人を証明する物を出して」と言われたら何を出すのでしょうね。ちなみにパスポートは持たないし、介護保険証も持っていません。,
ちなみにパスポートは持たないし、介護保険証も持っていません。,1,全部紐付けしたマイナンバーカードを紛失して窓口での手続きの際、「本人を証明する物を出して」と言われたら何を出すのでしょうね。ちなみにパスポートは持たないし、介護保険証も持っていません。,
国が公的な手続きや書類をデジタル化を目指すのは良い事だと思うけど、現実問題で国のデジタルレベルが民間よりもかなり劣っている現状が問題だと思う、国で管理をするのであれば委託などはせずに公務員が優秀なエンジニアになる必要があると思う。,0,国が公的な手続きや書類をデジタル化を目指すのは良い事だと思うけど、現実問題で国のデジタルレベルが民間よりもかなり劣っている現状が問題だと思う、国で管理をするのであれば委託などはせずに公務員が優秀なエンジニアになる必要があると思う。,
みなさん「デジタル社会の実現に向けた重点計画 (案)」を読んでいないから議論が変な方向に向かっています。,0,"みなさん「デジタル社会の実現に向けた重点計画 (案)」を読んでいないから議論が変な方向に向かっています。この計画には、非対面での本人確認を公的個人認証に一本化するということ、それから対面でも公的個人認証「など」を推進して、コピーを取る現状のやり方をやめると書かれています。
本人確認書類のコピーを取るやり方は安全性を考えると将来的には廃止されるべきで、その代替手法は公的個人認証が一番使いやすいとは思いますが、運転免許証にも電子的に券面情報を取得できる機能があるので、それでも良いだろうと考えます。",
この計画には、非対面での本人確認を公的個人認証に一本化するということ、それから対面でも公的個人認証「など」を推進して、コピーを取る現状のやり方をやめると書かれています。,1,"みなさん「デジタル社会の実現に向けた重点計画 (案)」を読んでいないから議論が変な方向に向かっています。この計画には、非対面での本人確認を公的個人認証に一本化するということ、それから対面でも公的個人認証「など」を推進して、コピーを取る現状のやり方をやめると書かれています。
本人確認書類のコピーを取るやり方は安全性を考えると将来的には廃止されるべきで、その代替手法は公的個人認証が一番使いやすいとは思いますが、運転免許証にも電子的に券面情報を取得できる機能があるので、それでも良いだろうと考えます。",
"
本人確認書類のコピーを取るやり方は安全性を考えると将来的には廃止されるべきで、その代替手法は公的個人認証が一番使いやすいとは思いますが、運転免許証にも電子的に券面情報を取得できる機能があるので、それでも良いだろうと考えます。",2,"みなさん「デジタル社会の実現に向けた重点計画 (案)」を読んでいないから議論が変な方向に向かっています。この計画には、非対面での本人確認を公的個人認証に一本化するということ、それから対面でも公的個人認証「など」を推進して、コピーを取る現状のやり方をやめると書かれています。
本人確認書類のコピーを取るやり方は安全性を考えると将来的には廃止されるべきで、その代替手法は公的個人認証が一番使いやすいとは思いますが、運転免許証にも電子的に券面情報を取得できる機能があるので、それでも良いだろうと考えます。",
では、銀行口座は今のうちに沢山作っておくか。,0,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"
",1,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。,2,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"
地元信用金庫と農協かな。",3,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
それ以上作ってもATMが近くにないから使えない。,4,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"
家族名義の口座も作っておこう。",5,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。",6,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"
ほとんど使ってないから、金がもったないと思っていた。",7,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",8,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。,0,"もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。
肌身から離すから、落としたり、無くしたりするのだから。",
ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。,1,"もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。
肌身から離すから、落としたり、無くしたりするのだから。",
"
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。",2,"もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。
肌身から離すから、落としたり、無くしたりするのだから。",
"
肌身から離すから、落としたり、無くしたりするのだから。",3,"もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。
肌身から離すから、落としたり、無くしたりするのだから。",
建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。,0,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
"
",1,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。,2,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
"
",3,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。,4,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
"
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。",5,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
"
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。",6,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
"
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",7,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
ともかく紙の保険証廃止だけは止めるべきでしょう。,0,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。,1,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
大いに失望した。,2,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
つまり政府の方針は「鎮圧」にかたまったってこと。,3,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
