文,出現順序,全体のコメント,ラベル
"

貨物自動車運送事業法で運行管理者の方が点呼の責任を取るために、万が一警察の取り締まりや事故等で発覚した場合には、運送会社と運行管理者はかなりの責任を取らされる事になる。",2,"運行管理者の補助者として、点呼と運転免許証の確認をしており、券面の有効期限や免許されている車種、また裏書で免許停止になっていないかの確認を行い、免許失効や無免許運転や資格外運転の防止を行なっているが、運転免許証がマイナンバーカードに移行してしまうと、これらの確認ができないため、しっこした免許や所有する免許の条件等種類の確認が出来なくなり、無資格運転等の問題が起きる危険性がある。

貨物自動車運送事業法で運行管理者の方が点呼の責任を取るために、万が一警察の取り締まりや事故等で発覚した場合には、運送会社と運行管理者はかなりの責任を取らされる事になる。

制服は安易にマイナンバー制度化でマイナンバーカードにまとめようとしているが、運転免許証の廃止は運行管理上の問題もあり安易に廃止してまとめてしまうのは問題だと思う。",
"

制服は安易にマイナンバー制度化でマイナンバーカードにまとめようとしているが、運転免許証の廃止は運行管理上の問題もあり安易に廃止してまとめてしまうのは問題だと思う。",3,"運行管理者の補助者として、点呼と運転免許証の確認をしており、券面の有効期限や免許されている車種、また裏書で免許停止になっていないかの確認を行い、免許失効や無免許運転や資格外運転の防止を行なっているが、運転免許証がマイナンバーカードに移行してしまうと、これらの確認ができないため、しっこした免許や所有する免許の条件等種類の確認が出来なくなり、無資格運転等の問題が起きる危険性がある。

貨物自動車運送事業法で運行管理者の方が点呼の責任を取るために、万が一警察の取り締まりや事故等で発覚した場合には、運送会社と運行管理者はかなりの責任を取らされる事になる。

制服は安易にマイナンバー制度化でマイナンバーカードにまとめようとしているが、運転免許証の廃止は運行管理上の問題もあり安易に廃止してまとめてしまうのは問題だと思う。",
マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。,1,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
"
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。",2,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
怖い怖い（財産も持ってないけど笑）,3,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
"
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。",4,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
見つかった時、再交付の時も1度の手続きですむならいいけど。,5,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。,6,"マイナ保険証だけなら、病院に行く時だけで使わないときは自宅保管でもいいけど、免許証が一体化となると常に携帯しないとだめになりますね。
保険所1枚、免許証1枚だけでなく紛失時は財産丸ごと落とすことになりますね。怖い怖い（財産も持ってないけど笑）
紛失時に1回ですべて事足りるという解釈もありますが、そうなるとマイナ紛失して紛失にかかわる手続きすると口座も保険証も免許証もクレカも1度に全部、停止になるのかな・・・。見つかった時、再交付の時も1度の手続きですむならいいけど。でも、安全を担保できていない今の状況を見れば、これを1元で政府の制度にお任せするのも怖い怖い。",
全部紐付けしたマイナンバーカードを紛失して窓口での手続きの際、「本人を証明する物を出して」と言われたら何を出すのでしょうね。,1,全部紐付けしたマイナンバーカードを紛失して窓口での手続きの際、「本人を証明する物を出して」と言われたら何を出すのでしょうね。ちなみにパスポートは持たないし、介護保険証も持っていません。,
ちなみにパスポートは持たないし、介護保険証も持っていません。,2,全部紐付けしたマイナンバーカードを紛失して窓口での手続きの際、「本人を証明する物を出して」と言われたら何を出すのでしょうね。ちなみにパスポートは持たないし、介護保険証も持っていません。,
国が公的な手続きや書類をデジタル化を目指すのは良い事だと思うけど、現実問題で国のデジタルレベルが民間よりもかなり劣っている現状が問題だと思う、国で管理をするのであれば委託などはせずに公務員が優秀なエンジニアになる必要があると思う。,1,国が公的な手続きや書類をデジタル化を目指すのは良い事だと思うけど、現実問題で国のデジタルレベルが民間よりもかなり劣っている現状が問題だと思う、国で管理をするのであれば委託などはせずに公務員が優秀なエンジニアになる必要があると思う。,
みなさん「デジタル社会の実現に向けた重点計画 (案)」を読んでいないから議論が変な方向に向かっています。,1,"みなさん「デジタル社会の実現に向けた重点計画 (案)」を読んでいないから議論が変な方向に向かっています。この計画には、非対面での本人確認を公的個人認証に一本化するということ、それから対面でも公的個人認証「など」を推進して、コピーを取る現状のやり方をやめると書かれています。
本人確認書類のコピーを取るやり方は安全性を考えると将来的には廃止されるべきで、その代替手法は公的個人認証が一番使いやすいとは思いますが、運転免許証にも電子的に券面情報を取得できる機能があるので、それでも良いだろうと考えます。",
この計画には、非対面での本人確認を公的個人認証に一本化するということ、それから対面でも公的個人認証「など」を推進して、コピーを取る現状のやり方をやめると書かれています。,2,"みなさん「デジタル社会の実現に向けた重点計画 (案)」を読んでいないから議論が変な方向に向かっています。この計画には、非対面での本人確認を公的個人認証に一本化するということ、それから対面でも公的個人認証「など」を推進して、コピーを取る現状のやり方をやめると書かれています。
本人確認書類のコピーを取るやり方は安全性を考えると将来的には廃止されるべきで、その代替手法は公的個人認証が一番使いやすいとは思いますが、運転免許証にも電子的に券面情報を取得できる機能があるので、それでも良いだろうと考えます。",
"
本人確認書類のコピーを取るやり方は安全性を考えると将来的には廃止されるべきで、その代替手法は公的個人認証が一番使いやすいとは思いますが、運転免許証にも電子的に券面情報を取得できる機能があるので、それでも良いだろうと考えます。",3,"みなさん「デジタル社会の実現に向けた重点計画 (案)」を読んでいないから議論が変な方向に向かっています。この計画には、非対面での本人確認を公的個人認証に一本化するということ、それから対面でも公的個人認証「など」を推進して、コピーを取る現状のやり方をやめると書かれています。
本人確認書類のコピーを取るやり方は安全性を考えると将来的には廃止されるべきで、その代替手法は公的個人認証が一番使いやすいとは思いますが、運転免許証にも電子的に券面情報を取得できる機能があるので、それでも良いだろうと考えます。",
では、銀行口座は今のうちに沢山作っておくか。,1,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。,2,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"
地元信用金庫と農協かな。",3,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
それ以上作ってもATMが近くにないから使えない。,4,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"
家族名義の口座も作っておこう。",5,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。",6,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"
ほとんど使ってないから、金がもったないと思っていた。",7,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
"
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",8,"では、銀行口座は今のうちに沢山作っておくか。
すでに大手都市銀行４行と地元都市銀行の口座は持っているので、どの銀行にしようかな。
地元信用金庫と農協かな。それ以上作ってもATMが近くにないから使えない。
家族名義の口座も作っておこう。

携帯電話は、契約させてもらえないなら、その時点で解約で良いや。
ほとんど使ってないから、金がもったないと思っていた。
仕事用携帯電話で受電して、PCのg-mailだけで十分だと感じている。",
もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。,1,"もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。
肌身から離すから、落としたり、無くしたりするのだから。",
ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。,2,"もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。
肌身から離すから、落としたり、無くしたりするのだから。",
"
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。",3,"もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。
肌身から離すから、落としたり、無くしたりするのだから。",
"
肌身から離すから、落としたり、無くしたりするのだから。",4,"もう、ここまで一体化されるのであれば、マイナカードは、カード型に拘る必要が無いのでは。ドックタグ型にして、ネックチェーンで、肌身離さず持ち歩くように、変えたらどうでしょうか。
それとも、体にチップを埋設する方式にするとか、本人が意図せず手放せない様な、物にしないとね。
肌身から離すから、落としたり、無くしたりするのだから。",
建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。,1,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。,2,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。,3,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
"
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。",4,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
"
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。",5,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
"
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",6,"建前だけ任意として政府は一切責任を負おうとせず、それでいて生活に必須な健康保険や身分証明書などを人質に取り、実質的には強制するやり方が、あまりにも姑息で不誠実だ。
こんなやり方は信用できないし、信用できない人たちに口座番号などの個人情報を渡すのは、危険極まりないと思う。
民間のカード会社や金融機関は、消費者の信用を得るためにたいへんな努力を行っているが、「マイナンバーカード」には、誠意の欠片もなく、あるのは連日のトラブルと、国民を見下す上から目線だけだ。
国民の生活状況や健康状態、財産などの個人情報を政府に渡すことで、さらなる増税や負担増を押し付けられることは目に見えている。
こんな危険で有害な制度は、今すぐやめるべきだが、そのためには、今の総理大臣をはじめとした政治家に、やめてもらうことが欠かせない。
そのためには、選挙で意思表示をすることが、国民がとれる一番の解決策だ。",
ともかく紙の保険証廃止だけは止めるべきでしょう。,1,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。,2,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
大いに失望した。,3,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
つまり政府の方針は「鎮圧」にかたまったってこと。,4,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。,5,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,6,ともかく紙の保険証廃止だけは止めるべきでしょう。きょうのテレビ欄で各局のワイドショーの項目をみたら、マイナカードという項目は一つもなかった。大いに失望した。つまり政府の方針は「鎮圧」にかたまったってこと。テレビ局も政権側からのパイプが切られたら情報ももらえなくなる。いまこそ国民世論の沸騰しかない、あと有力なコメンテーターやインフルエンサーが紙の保険証維持の立場に立ってくれることを祈るしかない,
ついに出ましたね。,1,"ついに出ましたね。マイナカードと個人のあらゆる情報を紐づけて国が監視できる体制が。戸籍、勤め先、納税、健康保険証、通院投薬歴、運転免許、交通違反歴、保有している車両、携帯電話番号、銀行口座と取引履歴。
個人的な予測としていずれは学校就学、勤め先などの個人の職歴学歴、警察にある犯罪歴と指紋、パスポート、クレジットカード、ショッピングサイトやSNS、お店やレンタルショップの会員情報、通勤定期などなどもうなんでもありです。
これらが紐づけられるとビックデータとマイナカードから得られる関連情報をくし刺しして、誰がどの経路をたどってどこへ行ったのか、誰と連絡を取っていて何を話したのか、どんなものを検索して何に興味があって何を購入したのかまで全てバレバレ。
きっとマイナカードに忘れ物タグに使っているようなチップも搭載するんじゃないかな、末恐ろしい監視社会。",
