文,出現順序,全体のコメント,ラベル
"
今年の大谷選手はＷＢＣの時から二刀流として大活躍していたので常に疲労によるケガの心配がありました。",3,"大谷選手が右肘の手術をしたということは再び投打の二刀流として試合に出たいという決意表明でしょう。
手術をすると来シーズンは二刀流として試合に出ることはできなくなりますが打者としての大谷選手の活躍を見ることはできると思います。
今年の大谷選手はＷＢＣの時から二刀流として大活躍していたので常に疲労によるケガの心配がありました。
それでも、今シーズンの大谷選手はホームラン王とＭＶＰのタイトルは取ることができると思います。
来シーズンは打者として三冠王を目指して頑張ってください。
大谷選手なら三冠王も夢ではないと思います。",
"
それでも、今シーズンの大谷選手はホームラン王とＭＶＰのタイトルは取ることができると思います。",4,"大谷選手が右肘の手術をしたということは再び投打の二刀流として試合に出たいという決意表明でしょう。
手術をすると来シーズンは二刀流として試合に出ることはできなくなりますが打者としての大谷選手の活躍を見ることはできると思います。
今年の大谷選手はＷＢＣの時から二刀流として大活躍していたので常に疲労によるケガの心配がありました。
それでも、今シーズンの大谷選手はホームラン王とＭＶＰのタイトルは取ることができると思います。
来シーズンは打者として三冠王を目指して頑張ってください。
大谷選手なら三冠王も夢ではないと思います。",
"
来シーズンは打者として三冠王を目指して頑張ってください。",5,"大谷選手が右肘の手術をしたということは再び投打の二刀流として試合に出たいという決意表明でしょう。
手術をすると来シーズンは二刀流として試合に出ることはできなくなりますが打者としての大谷選手の活躍を見ることはできると思います。
今年の大谷選手はＷＢＣの時から二刀流として大活躍していたので常に疲労によるケガの心配がありました。
それでも、今シーズンの大谷選手はホームラン王とＭＶＰのタイトルは取ることができると思います。
来シーズンは打者として三冠王を目指して頑張ってください。
大谷選手なら三冠王も夢ではないと思います。",
"
大谷選手なら三冠王も夢ではないと思います。",6,"大谷選手が右肘の手術をしたということは再び投打の二刀流として試合に出たいという決意表明でしょう。
手術をすると来シーズンは二刀流として試合に出ることはできなくなりますが打者としての大谷選手の活躍を見ることはできると思います。
今年の大谷選手はＷＢＣの時から二刀流として大活躍していたので常に疲労によるケガの心配がありました。
それでも、今シーズンの大谷選手はホームラン王とＭＶＰのタイトルは取ることができると思います。
来シーズンは打者として三冠王を目指して頑張ってください。
大谷選手なら三冠王も夢ではないと思います。",
単なる靭帯移植なのかハイブリッド靭帯移植なのかは明らかにされていませんが成功したとのことでホッとしました…,1,"単なる靭帯移植なのかハイブリッド靭帯移植なのかは明らかにされていませんが成功したとのことでホッとしました…
これからのリハビリがとても大事
来シーズンどこでプレーするのかまだ分かりませんがとても楽しみです…
それまでの大谷選手ロスを我慢しています。
手術が成功してホントによかった。",
"
これからのリハビリがとても大事
来シーズン",2,"単なる靭帯移植なのかハイブリッド靭帯移植なのかは明らかにされていませんが成功したとのことでホッとしました…
これからのリハビリがとても大事
来シーズンどこでプレーするのかまだ分かりませんがとても楽しみです…
それまでの大谷選手ロスを我慢しています。
手術が成功してホントによかった。",
どこでプレーするのかまだ分かりませんがとても楽しみです…,3,"単なる靭帯移植なのかハイブリッド靭帯移植なのかは明らかにされていませんが成功したとのことでホッとしました…
これからのリハビリがとても大事
来シーズンどこでプレーするのかまだ分かりませんがとても楽しみです…
それまでの大谷選手ロスを我慢しています。
手術が成功してホントによかった。",
それまでの大谷選手ロスを我慢しています。,4,"単なる靭帯移植なのかハイブリッド靭帯移植なのかは明らかにされていませんが成功したとのことでホッとしました…
これからのリハビリがとても大事
来シーズンどこでプレーするのかまだ分かりませんがとても楽しみです…
それまでの大谷選手ロスを我慢しています。
手術が成功してホントによかった。",
"
手術が成功してホントによかった。",5,"単なる靭帯移植なのかハイブリッド靭帯移植なのかは明らかにされていませんが成功したとのことでホッとしました…
これからのリハビリがとても大事
来シーズンどこでプレーするのかまだ分かりませんがとても楽しみです…
それまでの大谷選手ロスを我慢しています。
手術が成功してホントによかった。",
2箇所も故障して落胆して胸が張り裂けるような思いもあったと思います,1,"2箇所も故障して落胆して胸が張り裂けるような思いもあったと思います
手術や今後への不安もあったと思います
でも一昨日までの二日間ベンチにいたあなたは笑顔をたくさん見せチームメートとたくさん語らい太陽のように明るく輝いていました

手術成功おめでとうございます
そしてこれから色々困難があってもあなたならきっと乗り越えられると思います

到底足元にも及びませんがこれから思い通りに行かないことや困難が起きて気持ちがめげそうになった時はあなたのことを思い出して自分を励まそう、がんばろうと思います",
"
手術や今後への不安もあったと思います",2,"2箇所も故障して落胆して胸が張り裂けるような思いもあったと思います
手術や今後への不安もあったと思います
でも一昨日までの二日間ベンチにいたあなたは笑顔をたくさん見せチームメートとたくさん語らい太陽のように明るく輝いていました

手術成功おめでとうございます
そしてこれから色々困難があってもあなたならきっと乗り越えられると思います

到底足元にも及びませんがこれから思い通りに行かないことや困難が起きて気持ちがめげそうになった時はあなたのことを思い出して自分を励まそう、がんばろうと思います",
"
でも一昨日までの二日間ベンチにいたあなたは笑顔をたくさん見せチームメートとたくさん語らい太陽のように明るく輝いていました

手術",3,"2箇所も故障して落胆して胸が張り裂けるような思いもあったと思います
手術や今後への不安もあったと思います
でも一昨日までの二日間ベンチにいたあなたは笑顔をたくさん見せチームメートとたくさん語らい太陽のように明るく輝いていました

手術成功おめでとうございます
そしてこれから色々困難があってもあなたならきっと乗り越えられると思います

到底足元にも及びませんがこれから思い通りに行かないことや困難が起きて気持ちがめげそうになった時はあなたのことを思い出して自分を励まそう、がんばろうと思います",
"成功おめでとうございます
",4,"2箇所も故障して落胆して胸が張り裂けるような思いもあったと思います
手術や今後への不安もあったと思います
でも一昨日までの二日間ベンチにいたあなたは笑顔をたくさん見せチームメートとたくさん語らい太陽のように明るく輝いていました

手術成功おめでとうございます
そしてこれから色々困難があってもあなたならきっと乗り越えられると思います

到底足元にも及びませんがこれから思い通りに行かないことや困難が起きて気持ちがめげそうになった時はあなたのことを思い出して自分を励まそう、がんばろうと思います",
そしてこれから色々困難があってもあなたならきっと乗り越えられると思います,5,"2箇所も故障して落胆して胸が張り裂けるような思いもあったと思います
手術や今後への不安もあったと思います
でも一昨日までの二日間ベンチにいたあなたは笑顔をたくさん見せチームメートとたくさん語らい太陽のように明るく輝いていました

手術成功おめでとうございます
そしてこれから色々困難があってもあなたならきっと乗り越えられると思います

到底足元にも及びませんがこれから思い通りに行かないことや困難が起きて気持ちがめげそうになった時はあなたのことを思い出して自分を励まそう、がんばろうと思います",
"

到底足元にも及びませんがこれから思い通りに行かないことや困難が起きて気持ちがめげそうになった時はあなたのことを思い出して自分を励まそう、がんばろうと思います",6,"2箇所も故障して落胆して胸が張り裂けるような思いもあったと思います
手術や今後への不安もあったと思います
でも一昨日までの二日間ベンチにいたあなたは笑顔をたくさん見せチームメートとたくさん語らい太陽のように明るく輝いていました

手術成功おめでとうございます
そしてこれから色々困難があってもあなたならきっと乗り越えられると思います

到底足元にも及びませんがこれから思い通りに行かないことや困難が起きて気持ちがめげそうになった時はあなたのことを思い出して自分を励まそう、がんばろうと思います",
とりあえず手術が成功してホッとしています。,1,とりあえず手術が成功してホッとしています。二刀流を見たいけれど、大谷選手の選手生命が短くなってしまう。二刀流よりもプレーしてる姿をできるだけ長く見ていたいです。早く完全復活できることを祈っていますし、今後は二刀流だとしても休息をとるなど怪我に気をつけて、活躍している姿に期待しています。,
二刀流を見たいけれど、大谷選手の選手生命が短くなってしまう。,2,とりあえず手術が成功してホッとしています。二刀流を見たいけれど、大谷選手の選手生命が短くなってしまう。二刀流よりもプレーしてる姿をできるだけ長く見ていたいです。早く完全復活できることを祈っていますし、今後は二刀流だとしても休息をとるなど怪我に気をつけて、活躍している姿に期待しています。,
二刀流よりもプレーしてる姿をできるだけ長く見ていたいです。,3,とりあえず手術が成功してホッとしています。二刀流を見たいけれど、大谷選手の選手生命が短くなってしまう。二刀流よりもプレーしてる姿をできるだけ長く見ていたいです。早く完全復活できることを祈っていますし、今後は二刀流だとしても休息をとるなど怪我に気をつけて、活躍している姿に期待しています。,
早く完全復活できることを祈っていますし、今後は二刀流だとしても休息をとるなど怪我に気をつけて、活躍している姿に期待しています。,4,とりあえず手術が成功してホッとしています。二刀流を見たいけれど、大谷選手の選手生命が短くなってしまう。二刀流よりもプレーしてる姿をできるだけ長く見ていたいです。早く完全復活できることを祈っていますし、今後は二刀流だとしても休息をとるなど怪我に気をつけて、活躍している姿に期待しています。,
前回とと同じ医師のもとで19日、大谷選手は右肘の手術をしたとのニュースに接しました。,1,前回とと同じ医師のもとで19日、大谷選手は右肘の手術をしたとのニュースに接しました。成功をお祈りします。一方、今シーズンは本当に大谷選手お疲れ様でした、そして満塁本塁打とかも含め様々な豪華かつ走攻守での活躍シーン見させていただきありがとうございました。術後の回復も含めゆっくり休んでください。来シーズンの姿を見せてください。どのようなユニホームになるかはわかりませんが、あの笑顔をボールパークに見せてください。今シーズンありがとうございました。,
成功をお祈りします。,2,前回とと同じ医師のもとで19日、大谷選手は右肘の手術をしたとのニュースに接しました。成功をお祈りします。一方、今シーズンは本当に大谷選手お疲れ様でした、そして満塁本塁打とかも含め様々な豪華かつ走攻守での活躍シーン見させていただきありがとうございました。術後の回復も含めゆっくり休んでください。来シーズンの姿を見せてください。どのようなユニホームになるかはわかりませんが、あの笑顔をボールパークに見せてください。今シーズンありがとうございました。,
一方、今シーズンは本当に大谷選手お疲れ様でした、そして満塁本塁打とかも含め様々な豪華かつ走攻守での活躍シーン見させていただきありがとうございました。,3,前回とと同じ医師のもとで19日、大谷選手は右肘の手術をしたとのニュースに接しました。成功をお祈りします。一方、今シーズンは本当に大谷選手お疲れ様でした、そして満塁本塁打とかも含め様々な豪華かつ走攻守での活躍シーン見させていただきありがとうございました。術後の回復も含めゆっくり休んでください。来シーズンの姿を見せてください。どのようなユニホームになるかはわかりませんが、あの笑顔をボールパークに見せてください。今シーズンありがとうございました。,
術後の回復も含めゆっくり休んでください。,4,前回とと同じ医師のもとで19日、大谷選手は右肘の手術をしたとのニュースに接しました。成功をお祈りします。一方、今シーズンは本当に大谷選手お疲れ様でした、そして満塁本塁打とかも含め様々な豪華かつ走攻守での活躍シーン見させていただきありがとうございました。術後の回復も含めゆっくり休んでください。来シーズンの姿を見せてください。どのようなユニホームになるかはわかりませんが、あの笑顔をボールパークに見せてください。今シーズンありがとうございました。,
来シーズンの姿を見せてください。,5,前回とと同じ医師のもとで19日、大谷選手は右肘の手術をしたとのニュースに接しました。成功をお祈りします。一方、今シーズンは本当に大谷選手お疲れ様でした、そして満塁本塁打とかも含め様々な豪華かつ走攻守での活躍シーン見させていただきありがとうございました。術後の回復も含めゆっくり休んでください。来シーズンの姿を見せてください。どのようなユニホームになるかはわかりませんが、あの笑顔をボールパークに見せてください。今シーズンありがとうございました。,
どのようなユニホームになるかはわかりませんが、あの笑顔をボールパークに見せてください。,6,前回とと同じ医師のもとで19日、大谷選手は右肘の手術をしたとのニュースに接しました。成功をお祈りします。一方、今シーズンは本当に大谷選手お疲れ様でした、そして満塁本塁打とかも含め様々な豪華かつ走攻守での活躍シーン見させていただきありがとうございました。術後の回復も含めゆっくり休んでください。来シーズンの姿を見せてください。どのようなユニホームになるかはわかりませんが、あの笑顔をボールパークに見せてください。今シーズンありがとうございました。,
今シーズンありがとうございました。,7,前回とと同じ医師のもとで19日、大谷選手は右肘の手術をしたとのニュースに接しました。成功をお祈りします。一方、今シーズンは本当に大谷選手お疲れ様でした、そして満塁本塁打とかも含め様々な豪華かつ走攻守での活躍シーン見させていただきありがとうございました。術後の回復も含めゆっくり休んでください。来シーズンの姿を見せてください。どのようなユニホームになるかはわかりませんが、あの笑顔をボールパークに見せてください。今シーズンありがとうございました。,
ひじにかかる負荷を測る装具着けたり、細心の注意を払っててもじん帯は損傷する。,1,ひじにかかる負荷を測る装具着けたり、細心の注意を払っててもじん帯は損傷する。次に同じ状況になったら、もう二刀流は断念せざるを得ないか。我々はまだまだ彼の前人未到の頂に挑む挑戦が見たい。それも本人の健康な状態あってこそ。しっかりリハビリをして回復したらまたグラウンドで暴れまわる姿を見せて下さい。ただどんなユニフォーム着てるんだろう、その時。,
次に同じ状況になったら、もう二刀流は断念せざるを得ないか。,2,ひじにかかる負荷を測る装具着けたり、細心の注意を払っててもじん帯は損傷する。次に同じ状況になったら、もう二刀流は断念せざるを得ないか。我々はまだまだ彼の前人未到の頂に挑む挑戦が見たい。それも本人の健康な状態あってこそ。しっかりリハビリをして回復したらまたグラウンドで暴れまわる姿を見せて下さい。ただどんなユニフォーム着てるんだろう、その時。,
我々はまだまだ彼の前人未到の頂に挑む挑戦が見たい。,3,ひじにかかる負荷を測る装具着けたり、細心の注意を払っててもじん帯は損傷する。次に同じ状況になったら、もう二刀流は断念せざるを得ないか。我々はまだまだ彼の前人未到の頂に挑む挑戦が見たい。それも本人の健康な状態あってこそ。しっかりリハビリをして回復したらまたグラウンドで暴れまわる姿を見せて下さい。ただどんなユニフォーム着てるんだろう、その時。,
それも本人の健康な状態あってこそ。,4,ひじにかかる負荷を測る装具着けたり、細心の注意を払っててもじん帯は損傷する。次に同じ状況になったら、もう二刀流は断念せざるを得ないか。我々はまだまだ彼の前人未到の頂に挑む挑戦が見たい。それも本人の健康な状態あってこそ。しっかりリハビリをして回復したらまたグラウンドで暴れまわる姿を見せて下さい。ただどんなユニフォーム着てるんだろう、その時。,
しっかりリハビリをして回復したらまたグラウンドで暴れまわる姿を見せて下さい。,5,ひじにかかる負荷を測る装具着けたり、細心の注意を払っててもじん帯は損傷する。次に同じ状況になったら、もう二刀流は断念せざるを得ないか。我々はまだまだ彼の前人未到の頂に挑む挑戦が見たい。それも本人の健康な状態あってこそ。しっかりリハビリをして回復したらまたグラウンドで暴れまわる姿を見せて下さい。ただどんなユニフォーム着てるんだろう、その時。,
ただどんなユニフォーム着てるんだろう、その時。,6,ひじにかかる負荷を測る装具着けたり、細心の注意を払っててもじん帯は損傷する。次に同じ状況になったら、もう二刀流は断念せざるを得ないか。我々はまだまだ彼の前人未到の頂に挑む挑戦が見たい。それも本人の健康な状態あってこそ。しっかりリハビリをして回復したらまたグラウンドで暴れまわる姿を見せて下さい。ただどんなユニフォーム着てるんだろう、その時。,
無事に手術が成功してまずは一安心というところ。,1,"無事に手術が成功してまずは一安心というところ。

大谷の今シーズンはWBCに始まり、酷使のシーズンだったのではないか。
いくらトレーニングをしている体であっても、酷使による疲労で肘が悲鳴を上げたのだと思う。
今回を教訓に、二刀流プレーヤーを続けていくのなら、球団と共に自身のマネジメントをしっかり行っていき、ケガのない選手生活を送っていってほしい。",
"

大谷の今シーズンはWBCに始まり、酷使のシーズンだったのではないか。",2,"無事に手術が成功してまずは一安心というところ。

大谷の今シーズンはWBCに始まり、酷使のシーズンだったのではないか。
いくらトレーニングをしている体であっても、酷使による疲労で肘が悲鳴を上げたのだと思う。
今回を教訓に、二刀流プレーヤーを続けていくのなら、球団と共に自身のマネジメントをしっかり行っていき、ケガのない選手生活を送っていってほしい。",
"
いくらトレーニングをしている体であっても、酷使による疲労で肘が悲鳴を上げたのだと思う。",3,"無事に手術が成功してまずは一安心というところ。

大谷の今シーズンはWBCに始まり、酷使のシーズンだったのではないか。
いくらトレーニングをしている体であっても、酷使による疲労で肘が悲鳴を上げたのだと思う。
今回を教訓に、二刀流プレーヤーを続けていくのなら、球団と共に自身のマネジメントをしっかり行っていき、ケガのない選手生活を送っていってほしい。",
今回を教訓に、二刀流プレーヤーを続けていくのなら、球団と共に自身のマネジメントをしっかり行っていき、ケガのない選手生活を送っていってほしい。,4,"無事に手術が成功してまずは一安心というところ。

大谷の今シーズンはWBCに始まり、酷使のシーズンだったのではないか。
いくらトレーニングをしている体であっても、酷使による疲労で肘が悲鳴を上げたのだと思う。
今回を教訓に、二刀流プレーヤーを続けていくのなら、球団と共に自身のマネジメントをしっかり行っていき、ケガのない選手生活を送っていってほしい。",
手術も受けるってことも大変だったと思いますが、何より、これからのリハビリが大変だってことは前回も行ってわかっているだろう。,1,"手術も受けるってことも大変だったと思いますが、何より、これからのリハビリが大変だってことは前回も行ってわかっているだろう。辛いってことがわかっている中、また挑戦する、挑戦し続けるのか！と。その精神力に、野球を続ける熱量に感服します。
ずっと続けていくということ、それだけでもMVPですT－T。こんなこと気軽に言っちゃいけないんだけれど、やっぱり再起してまたあの素晴らしいプレーを見せてる欲しいです。(奇跡に近いんだよね。でもそれを努力で引き寄せちゃうんだ。もうすでに一度やってのけてるんだけど)",
辛いってことがわかっている中、また挑戦する、挑戦し続けるのか！と。,2,"手術も受けるってことも大変だったと思いますが、何より、これからのリハビリが大変だってことは前回も行ってわかっているだろう。辛いってことがわかっている中、また挑戦する、挑戦し続けるのか！と。その精神力に、野球を続ける熱量に感服します。
ずっと続けていくということ、それだけでもMVPですT－T。こんなこと気軽に言っちゃいけないんだけれど、やっぱり再起してまたあの素晴らしいプレーを見せてる欲しいです。(奇跡に近いんだよね。でもそれを努力で引き寄せちゃうんだ。もうすでに一度やってのけてるんだけど)",
その精神力に、野球を続ける熱量に感服します。,3,"手術も受けるってことも大変だったと思いますが、何より、これからのリハビリが大変だってことは前回も行ってわかっているだろう。辛いってことがわかっている中、また挑戦する、挑戦し続けるのか！と。その精神力に、野球を続ける熱量に感服します。
ずっと続けていくということ、それだけでもMVPですT－T。こんなこと気軽に言っちゃいけないんだけれど、やっぱり再起してまたあの素晴らしいプレーを見せてる欲しいです。(奇跡に近いんだよね。でもそれを努力で引き寄せちゃうんだ。もうすでに一度やってのけてるんだけど)",
ずっと続けていくということ、それだけでもMVPですT－T。,4,"手術も受けるってことも大変だったと思いますが、何より、これからのリハビリが大変だってことは前回も行ってわかっているだろう。辛いってことがわかっている中、また挑戦する、挑戦し続けるのか！と。その精神力に、野球を続ける熱量に感服します。
ずっと続けていくということ、それだけでもMVPですT－T。こんなこと気軽に言っちゃいけないんだけれど、やっぱり再起してまたあの素晴らしいプレーを見せてる欲しいです。(奇跡に近いんだよね。でもそれを努力で引き寄せちゃうんだ。もうすでに一度やってのけてるんだけど)",
こんなこと気軽に言っちゃいけないんだけれど、やっぱり再起してまたあの素晴らしいプレーを見せてる欲しいです。,5,"手術も受けるってことも大変だったと思いますが、何より、これからのリハビリが大変だってことは前回も行ってわかっているだろう。辛いってことがわかっている中、また挑戦する、挑戦し続けるのか！と。その精神力に、野球を続ける熱量に感服します。
ずっと続けていくということ、それだけでもMVPですT－T。こんなこと気軽に言っちゃいけないんだけれど、やっぱり再起してまたあの素晴らしいプレーを見せてる欲しいです。(奇跡に近いんだよね。でもそれを努力で引き寄せちゃうんだ。もうすでに一度やってのけてるんだけど)",
(奇跡に近いんだよね。,6,"手術も受けるってことも大変だったと思いますが、何より、これからのリハビリが大変だってことは前回も行ってわかっているだろう。辛いってことがわかっている中、また挑戦する、挑戦し続けるのか！と。その精神力に、野球を続ける熱量に感服します。
ずっと続けていくということ、それだけでもMVPですT－T。こんなこと気軽に言っちゃいけないんだけれど、やっぱり再起してまたあの素晴らしいプレーを見せてる欲しいです。(奇跡に近いんだよね。でもそれを努力で引き寄せちゃうんだ。もうすでに一度やってのけてるんだけど)",
でもそれを努力で引き寄せちゃうんだ。,7,"手術も受けるってことも大変だったと思いますが、何より、これからのリハビリが大変だってことは前回も行ってわかっているだろう。辛いってことがわかっている中、また挑戦する、挑戦し続けるのか！と。その精神力に、野球を続ける熱量に感服します。
ずっと続けていくということ、それだけでもMVPですT－T。こんなこと気軽に言っちゃいけないんだけれど、やっぱり再起してまたあの素晴らしいプレーを見せてる欲しいです。(奇跡に近いんだよね。でもそれを努力で引き寄せちゃうんだ。もうすでに一度やってのけてるんだけど)",
もうすでに一度やってのけてるんだけど),8,"手術も受けるってことも大変だったと思いますが、何より、これからのリハビリが大変だってことは前回も行ってわかっているだろう。辛いってことがわかっている中、また挑戦する、挑戦し続けるのか！と。その精神力に、野球を続ける熱量に感服します。
ずっと続けていくということ、それだけでもMVPですT－T。こんなこと気軽に言っちゃいけないんだけれど、やっぱり再起してまたあの素晴らしいプレーを見せてる欲しいです。(奇跡に近いんだよね。でもそれを努力で引き寄せちゃうんだ。もうすでに一度やってのけてるんだけど)",
大谷選手の手術に関しては箝口令が敷かれていたのか、何時とか何処でとかいう噂は流れて来ませんでした。,1,大谷選手の手術に関しては箝口令が敷かれていたのか、何時とか何処でとかいう噂は流れて来ませんでした。周囲が大騒ぎする前に終わっていて少し安心しましたね。前回の手術を受けてからは今シーズンの絶好調も有りましたし、手術の成功が好成績に繋がった事実は有りますが、今回は2度目という事で慎重にリハビリをして欲しいですね。,
周囲が大騒ぎする前に終わっていて少し安心しましたね。,2,大谷選手の手術に関しては箝口令が敷かれていたのか、何時とか何処でとかいう噂は流れて来ませんでした。周囲が大騒ぎする前に終わっていて少し安心しましたね。前回の手術を受けてからは今シーズンの絶好調も有りましたし、手術の成功が好成績に繋がった事実は有りますが、今回は2度目という事で慎重にリハビリをして欲しいですね。,
前回の手術を受けてからは今シーズンの絶好調も有りましたし、手術の成功が好成績に繋がった事実は有りますが、今回は2度目という事で慎重にリハビリをして欲しいですね。,3,大谷選手の手術に関しては箝口令が敷かれていたのか、何時とか何処でとかいう噂は流れて来ませんでした。周囲が大騒ぎする前に終わっていて少し安心しましたね。前回の手術を受けてからは今シーズンの絶好調も有りましたし、手術の成功が好成績に繋がった事実は有りますが、今回は2度目という事で慎重にリハビリをして欲しいですね。,
大谷選手が試合に出られなくなり心にポッカリ穴が空き、塞ぎようがありません。,1,大谷選手が試合に出られなくなり心にポッカリ穴が空き、塞ぎようがありません。存在の大きさを改めて思い知らされた気分です。殺伐とした世の中に舞い降りた天使だと思っています。今はしっかり療養され、また元気な姿をみせてください。ご回復を心から祈ります。あとは神様、どうか大谷選手を怪我、病気からお守りください。お願いします。,
存在の大きさを改めて思い知らされた気分です。,2,大谷選手が試合に出られなくなり心にポッカリ穴が空き、塞ぎようがありません。存在の大きさを改めて思い知らされた気分です。殺伐とした世の中に舞い降りた天使だと思っています。今はしっかり療養され、また元気な姿をみせてください。ご回復を心から祈ります。あとは神様、どうか大谷選手を怪我、病気からお守りください。お願いします。,
殺伐とした世の中に舞い降りた天使だと思っています。,3,大谷選手が試合に出られなくなり心にポッカリ穴が空き、塞ぎようがありません。存在の大きさを改めて思い知らされた気分です。殺伐とした世の中に舞い降りた天使だと思っています。今はしっかり療養され、また元気な姿をみせてください。ご回復を心から祈ります。あとは神様、どうか大谷選手を怪我、病気からお守りください。お願いします。,
今はしっかり療養され、また元気な姿をみせてください。,4,大谷選手が試合に出られなくなり心にポッカリ穴が空き、塞ぎようがありません。存在の大きさを改めて思い知らされた気分です。殺伐とした世の中に舞い降りた天使だと思っています。今はしっかり療養され、また元気な姿をみせてください。ご回復を心から祈ります。あとは神様、どうか大谷選手を怪我、病気からお守りください。お願いします。,
