,comment,label
70,飲食 店 や 映画 館 は NO ワクチン でも 普通 に 入れる 。 ,1.0
71,この 人 、 綺麗事 だけ で 生き て いる ゾンビ だ 。 ,0.0
72,「 よう な もの 」 よっ て 事実 で は ない 単なる 感想 で ある Q . E . D ,0.0
73,分断 は こういう ツイート だ ぜ ？ ,0.0
74,言い尽くさ れ た ネタ ばかり ,0.0
75,この 人 以前 も 似 た よう な こと いっ て い て 、 尚 且つ 指摘 さ れ て い て それ で また 繰り返し て いる の だ から ただただ 不誠実 と しか いえ ない 。 ,0.0
76,日本語 おかしく ない かい ？ ,0.0
77,母親 の 不倫 に 悩む 男子 に 『 母親 の 恋愛 を 応援 し て 』 等 と 宣う ジェンダー 感 は 時代遅れ 所 か 害悪 な の で は … … 。 ,1.0
78,アメリカ の セレブ 紹介 番組 に なっ ちゃう な ｗ ,1.0
79,アンタ 、 もしかして 別 の 世界 線 から 来 た の かい ？ ｗ ,0.0
80,ウソ つく な や ,0.0
81,スピード 感 で あっ て 本当は ダラダラ 、 イヤイヤ 。 ,1.0
82,本気 で 言っ てる の でしょ う か 。 ,0.0
83,だから 根拠 なく 根拠 なくっ て 、 根拠 なく という 根拠 を 述べ て み て くれ 。 ,0.0
84,日本人 に対して 容赦 ない です 。 ,1.0
85,そんな こと は 中２ でも 言える 。 ,0.0
86,だから 説得 力 も 皆無 。 ,0.0
87,ぶっ ちゃ け 一方 の 考え方 しか でき ない あんた が 弁護士 名乗っ てる 方 が 胡散臭い わ ,0.0
88,哀れ だ な 。 ,0.0
89,まったく 同感 です ,1.0
90,寝言 は 寝 て 言え 。 ,0.0
91,俺 たち 日本人 の 恥 で ある この よう な ネトウヨ が いる から 、 ヘイトスピーチ 厳罰 化 が 必要 な ん だ よ な 。 ,0.0
92,あなた が 一番 胡散臭い です ,0.0
93,皆さん に 返金 を し て ください 。 ,1.0
94,製薬 は 一生 売っ て 欲しい の でしょ う 。 ,1.0
95,日本 で 言わ れ て いる 「 多 文化 共生 」 は 「 他 文化 強制 」 です よ ね ！ ,1.0
96,ネトウヨ が 差別 用語 と 、 訳 の 分から ない 主張 を する ネトウヨ 。 ,0.0
97,# ヒステリック・フェミ ,0.0
98,稼ぐ なんて 、 ささい な ファクター 。 ,1.0
99,何 し て も いい ん や なぁ ,1.0
100,ちょっと 何 言っ て ん の かわか ん ない 。 ,0.0
101,さすが 共産党 支持 者 ,1.0
102,って 気 が つける か ？ ？ ？ ,1.0
103,だから ？ ,0.0
104,香西 さん の ツイート は 「 不確か な 内容 」 いっぱい です よ w ,0.0
105,マイラーズ さん 、 応援 し て おり ます ,1.0
106,民主党 の 時 の よう な フワッ と し た 民意 とか で は ない ので 。 ,1.0
107,最近 ( 昔 から ？) 増え た よ な ． ,1.0
108,尊敬 し ます ,1.0
109,こういう 風潮 が なくなら ん と いつ まで も 地位 向上 せ ん よ ね 。 ,1.0
110,だって 「 ダメ な こと は ダメ って 言う 」 ,1.0
111,で 、 中共 は その 金 で 日本 侵略 を 企て てる … と … 何だ それ ？ ,1.0
112,この 中学生 は 簡単 に 詐欺 に かかり そう で 怖い な 。 ,1.0
113,ま ー た 歴史 修正 か どん だけ 嘘 つく ねん ,0.0
114,言っ て いい でしょ う 。 ,1.0
115,いちいち さんま の テレビ 見る の に 洗脳 ガー とか 言っ てる やつ # マイキー 大喜 利 ,0.0
116,マスク に は 感染 症 を 防ぐ 効果 は あれ へん って 証明 さ れ てる やろ 。 ,1.0
117,言っ てる こと が 尽く 論点 ズレ て ます よ 。 ,0.0
118,そもそも なんで 夫 が 元 暴力団 の 人間 だ と 首相 の 臨時 代理 順位 2 位 に なっ ちゃ いけ ない ん です か ？ ,1.0
119,でも 何とも 言え ない 閉塞 感 が 漂う と 思う 。 ,1.0
120,むしろ 大 多数 は 無 関心 だ 。 ,1.0
121,そう は 言っ て も 人手 不足 なら 仕方 ない ん じゃ ない の ？ ,1.0
122,ゝ ,1.0
123,シバ エリ さん たち の が 本来 の フェミニズム だ と 思っ てる ,1.0
124,日本 に 近づく な !! ,1.0
125,驚き を 隠せ ない です 。 。 ,1.0
126,もう 滅茶苦茶 だ 12 歳 から やっ てる の だけ でも 、 もう こんな 社会 に いたく ない のに ,1.0
127,そんな 中 で 、 方法 論 が 優れ て いる から 自民党 が 優れ てる とか 、 何 の 冗談 だ よ 。 ,0.0
128,でも 、 そんな 輩 医者 の 言う こと を 従順 に 聞い て 実行 し てる 愚か な 国民 も 大量 に 居る ん です よ ね … ,1.0
129,これ を 取り締まる 権力 を 得 たら 、 あなた みたい な 人 は 香港 弾圧 みたい な こと 平気 で する ん です か ？ ,0.0
130,知っ てる 範囲 で フランス アメリカ 韓国 中国 ベトナム タイ ミャンマー か な ？ ,1.0
131,これ 以上 国民 を 苦しめる な よ ！ ,1.0
132,イギリス は EU 民 が 英語 通じ ない から 、 通訳 いれ ば 理解 する 可能 性 ある だけ マシ 。 ,1.0
133,ソース は ？ ,0.0
134,全く 触れ ず に こんな 糞 みたい な 煽り ツイート か ,0.0
135,また 、 ” 学校 で 憲法 に 沿っ て 反日 教育 が 行わ れ て いる 。 ” と する が 、 何 を 指し て 反日 教育 と 言っ て いる の か も 不明 だ 。 ,0.0
136,どこ か に いっぱい たまっ てる ん でしょ う ね 。 ,1.0
137,おはよう ? 去年 親子 で 経験 し まし た 組織 に 訴え て も 結局 揉み消さ れ て 泣く 人 他 に も 沢山 見 た から 、 法 で 罰すれ ば いい 。 ,1.0
138,つ ー か お前 の 方 が 遥か に 胡散臭い わ ( 嘲 ) ,0.0
139,反日 教育 は 近隣 諸国 条項 と それ に 従う 政治 家 と 官僚 の 影響 です 。 ,1.0
140,人生 を 勝ち負け と 言っ てる 時点 で 薄っぺら な ん だ よ ,0.0
141,規制 し た から 多い わけ じゃ なく て 、 そもそも 多い から 規制 し てん の や 。 ,1.0
142,同感 です 。 ,1.0
143,お 体 ご 自愛 ください ね ,1.0
144,倒閣 に 加担 し て た ん だろ 。 ,0.0
145,フェラーリ 乗っ て 身 を 切る 改革 ,1.0
146,正社員 に なっ て １つ の 企業 で だけ 仕事 を する の は とても 危険 だ と 思い ます 。 ,1.0
147,あんた みたい な の が いる から 「 娘 」 という 属性 は 一生 辛い まんま な ん だ よ 。 ,0.0
148,データー なし で ,1.0
149,天誅 ！ ,1.0
150,個人 と 国 と の 違い な の かも しれ ない です ね 。 ,1.0
151,いわゆる 「 統計 的 差別 」 問題 です ね 。 ,1.0
152,太陽光 発電 、 風力 発電 だけ で は 無理 だ な 。 ,1.0
153,『 戦い に なる と 抵抗 出来 ず 『 差別 主義 者 ！ 』 と 叫ん で 逃げる しか 脳 の ない 女性 』 を 体現 し てる だけ や ない の 。 ,0.0
154,先生 の ツイート へ の リプ の 中 に は 、 イベルメクチン を 万能 薬 、 さらに は 不老不死 の 薬 の よう に 吹聴 する もの が 見受け られ ます 。 ,1.0
155,最近 は 物言い が 酷 すぎる し 単純 に 煽っ て 自分 の チャンネル に 誘導 しよ う と し てる ん です ね 。 ,0.0
156,また 嘘 つく ん です か ？ ,0.0
157,そういう 所 が ダメ な ん だ ぞ ネトウヨ 。 ,0.0
158,ろくに 世間 も 知ら ない くせ し て よく そこ まで の 自己 満足 な こと が 書ける ね ,0.0
159,普通 は 、 楽しん で い ます よい ます よ 、 胴元 の せい に する なら 、 人 から お金 を だまさ ない で ください ね 。 ,1.0
160,叩き 合う しか 無い ん やろ なっ て 。 ,1.0
161,スクショ ,1.0
162,やっ てる こと 全て ヒトラー に そっくり wwww ,0.0
163,半島 系 の 顔 ね ,1.0
164,お め え が 目 に 入れ て ん だ よ ,1.0
