Column1,comment,label
80,RT ： 山本 太郎 さん の 経済 政策 は 本当に 正しい の です が 、 メッセージ の 出し 方 に 左翼 臭 が 漂う という 問題 が あっ て 、 なかなか 中道 から 右側 の 有権者 に 理解 さ れ ない の が 、 本当に 残念 で 仕方 あり ませ ん 。 ,1
82,その 人 が 労働 者 として 可笑しい だけ で 。 ,1
88,とりあえず 〇 〇 イズム は 主義 で 、 主義 と は 思想 で あっ て 、 それ は 置い とい て 、 ご 迷惑 を おかけ し まし た 。 ,1
91,どう する の ？ ,1
92,筋 トレ し て い て 力ん だ 時 に 首筋 を おかしく し た 事 を 謝罪 し ます ,1
94,要するに 行動 力 が ある 人 が 成功 する 。 ,1
97,沖縄 や 本土 に 米 軍 の 必要 性 を 感じ ない 、 問題 は 基地 に 関わり 生計 を 立て て いる 人達 の 『 稼ぎ 』 だ 。 ,1
98,再犯 同様 初犯 の 危険 性 も ある ん だ し リスク ０ を 求める の は 現実 的 じゃ ない 。 ,1
99,何 時 出る か 、 そもそも 出る の か 不明 な 一律 給付 を 頼る とか 有り得 ませ ん ね 。 ,1
100,それ だけ 。 ,1
102,報道 規制 が なさ れ 、 多く の 医師 が 本 を 出し て まで 訴え て いる の だ から 、 否定 する なら 根拠 を 示し て ほしい です ね 。 ,1
104,国民 を 騙し 導く 為 に 、 国 が 金 を 出し て 口 も 出し て いる 。 ,1
105,次 の 検査 方法 は もっと 注意 が 必要 です 。 ,1
106,誰 か が 言っ た こと を 鵜呑み に し てる だけ なん じゃ ない の ？ ,1
108,社会 保障 の 削減 一 択 。 ,1
111,イギリス は EU 民 が 英語 通じ ない から 、 通訳 いれ ば 理解 する 可能 性 ある だけ マシ 。 ,1
112,私 が 居 た 会社 は 365 日 24 時間 対応 で 問題 が 有れ ば 即時 対応 独身 者 は 年末年始 GW 等 の 連休 の 宿直 強制 参加 宿 明け 後 その 日 の 終業 時間 まで 勤務 始業 時間 1 時間 前 まで に 出勤 し 、 当日 の 仕事 準備 ,1
113,だから 話し合い も 理解 し あお う と する の も 、 無駄 だ な って 。 ,1
115,& gt ; ,1
117,多数 派 仕事 に 夢中 、 恋愛 に 夢中 、 遊び に 夢中 浸潤 は 進行 し 、 この間 の 衆院 選 で は 、 共産党 へ の 投票 率 は 、 7 . 5 % も あっ た そう 。 ,1
118,変革 により 気に入ら ない 古い 因習 よ 消えろ ！ ,1
119,仮に その 人 が 本当に バイト だっ た として も 。 ,1
123,「 テレビ に 映っ て いる 姿 が 格好 良い から 」 とか 、 「 野党 は 批判 する だけ で 何 も し ない から 」 とか 、 「 与党 様 、 与党 応援 党 （ 維新 とか ね ） に 反対 する 奴等 は 悪 だ 」 とか そういう バカ が 多い の が 現状 です 。 ,1
124,サブ カルチャー と は 「 まだ 権威 で 箔 付け さ れ て ない 文化 」 です 。 ,1
125,て ,1
126,出せ って なに ？ ,1
128,F 1 の グリッド ガール は 対立 し た から 滅ぼさ れ た ん じゃ ない 。 ,1
129,ブースター で 何 人 殺す 気 な の か ・ ・ ・ 確か 2 月 に ロック ダウン 予定 でし た ね ？ ,1
133,遊び 相手 に なっ て くれる の は 安倍 総理 だけ 。 ,1
135,ん ？ ,1
139,すべて が 捏造 か どうか 分かり ませ ん 。 ,1
140,自分 の アタマ で 考え られる 人 は 政府 が ロク な 事 し て ない って 簡単 に わかる よ 。 ,1
142,地球 温暖 化 を 信じ て なく て 、 現代 の 魔女 狩り と 言っ て た 人 も 打っ て ます 。 ,1
143,悪い 意味 で 人間らしく は あり ます 。 ,1
144,真似 し てる ん じゃ 無い か な 。 ,1
145,刑務所 行き から の クビ 離婚 から の 家族 離散 上級 国民 は ええ なぁ ,1
149,タバコ 臭い し 、 もはや 空気 が 全然 違 く て 同じ エリア で こう も 違う の か と 衝撃 的 な 年末 でし た ！ ,1
152,理想 と は ？ ,1
153,馬鹿 な 大将 は 敵 より 怖い と 言い ます から ね ? なら 馬鹿 な 国民 は 中国 より 怖い という 事 に なる の か な ？ ,1
156,日本 の パスポート は 、 世界 最強 。 ,1
158,おっしゃる 通り ！ ,1
160,過去 の 自分 に は ほっ か むりして ,1
163,あまり ワクチン 接種 、 非 接種 で キツ い 表現 し ない 方 が いい です よ 。 ,1
165,そもそも 今 の 政治 体制 が 官僚 政治 という 事 に 疑問 を 感じる 、 まず そこ を 潰し て 本来 の 政治 家 主体 に し ない と 政治 家 って 必要 ない 存在 と なる ,1
168,なるほど ,1
